acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
55,91ea517a42d3e3a0b6d40becd5dec5f25881025fc9dd8e986f33090b1ed32321,2024-09-18 14:00:00,0,0,0.0,02ee8087e74a404edb9147a59c59139af6733c798ca7b0d36e26e4f0a963d243,71356742cba9643b7ac2be2411b3bfe66f89ec664847a51bdbacf31fd03962f8,Porto. Free Wi-Fi
56,6ba34740a11ea102fcbc35dad37e626ed8dad378dd9b30ab1d8af3d4fdc907ab,2024-09-18 13:00:00,0,0,131853.0,4a1387e9cea907846e057df19fb904eac30e196bcb053a9e8fc622c13a633a3a,1786a505efa9f825a5a3cdb6916a2c619ee90342d0c708cbaf9afc57c8747f6f,eduroam
57,a070b9aee0ff7b4c3522311acbaae40fa02bb51d379144a8bd194a59c8a1cf01,2024-09-18 16:00:00,812,38,36.0,3b8d9d659d71efe03ca88a893ff317d97bae4c8b6857b522df8df2b534a99dd9,6f2ed2e71e167341cbbce4447d8a9065f8370294352f1847a9b777103516a02f,Porto. Free Wi-Fi
58,a9303840e9201fad14397c691797e66928e63d127cf3e42b2ea6b84e5d11a8e5,2024-09-18 10:00:00,1,4,3.0,5a04c69dfb879f894fb14db3803535d1d57eec5d5cf23da46459788556b60dec,000a9b5f3e9924b838334ddc856fb44e865abff86f6ef27d4297d10436481d33,eduroam
59,0242b7c85f1f082a1b8e4842503dea5d76f98c72af46e400e92904409cfee587,2024-09-18 13:00:00,0,0,,0c39dcd22d4d3a6f375561048008b81487d59a3a5cd3226be6f01eb517da89d4,363084153a810f329c1ae45f29fe4c8e27a782d0860cc69c23ee7248de994a74,Porto. Free Wi-Fi
60,27dc5a53144f96ebf0fab5e888d199543521ef522cc6e4f1e9f42247ef9e2f31,2024-09-18 11:00:00,5,156,131879.0,e9bf410cb9f159875ddaddd3f556dcdd869beccb258327d7b2fa3249f6b2ba89,362c1f85d76f64d050485e5480e9519600bf637f20b8ec13faccbabc9860d39b,Porto. Free Wi-Fi
61,71e725954b011197b41b25a7f978758fe4a9f8833942c4b08d36a74929de1cd9,2024-09-12 03:00:00,0,0,0.0,ac4269e53132c184187cbe5f0fd616cebd4f5f6f8700d8e1eed261a4c9fbdfb3,4478da52949880faf96f52de1c6a97ec73f8980735d59009708c43ce3238fe97,eduroam
62,b7448b232a5b58d4bc5854d27ae2ddfbe6175453ae7b33650b444d2cbc7754a0,2024-09-12 02:00:00,0,0,0.0,aff5b7218430106765dad78c04de81fdbb3dce02e7c78be970ad3be3a50c5ba8,4cad16c07e8c4d222c35d87e0e91ca7f748373f1733a74e0cd7c6e2a295726b4,Porto. Free Wi-Fi
63,49b5c8480f5359a76d3e34a9ddcb8b3700d46ad2e81cf428ee7a543ee86cebf2,2024-09-12 04:00:00,2,18,4.0,9f94a63d538f934573b9d681e667cfc927181a346766ec9abe6a2dd85986e491,4478da52949880faf96f52de1c6a97ec73f8980735d59009708c43ce3238fe97,eduroam
64,30ef8f67975d8c6f61f17793de733426e9d259a2620dfd299898b95fa52987d0,2024-09-12 03:00:00,0,0,0.0,4fcee32e0202dd8bd511817b5ac92d2a15d4eb7e71d198a3734fef329563c253,17c434b0737e4cd9cee9589874cf7659c78b84861080bca2eac6b74f48180740,Porto. Free Wi-Fi
